category,keyword,severity,description,example
OLD_BASIC,password,CRITICAL,"Traditional passwords","password123"
OLD_BASIC,passwort,CRITICAL,"German password","meinPasswort123"
OLD_BASIC,pwd,CRITICAL,"Password abbreviation","pwd=secret"
OLD_BASIC,pass,CRITICAL,"Short password","pass=admin"
OLD_BASIC,kennwort,CRITICAL,"German password","kennwort=geheim"
OLD_BASIC,geheim,CRITICAL,"German secret","geheim=12345"
OLD_BASIC,login,CRITICAL,"Login credentials","login=user"
OLD_BASIC,anmeldung,CRITICAL,"German login","anmeldung=admin"
OLD_BASIC,benutzer,CRITICAL,"German user","benutzer=root"
OLD_BASIC,user,CRITICAL,"Username","user=admin"
OLD_BASIC,username,CRITICAL,"Username","username=administrator"
OLD_BASIC,benutzername,CRITICAL,"German username","benutzername=sysadmin"
OLD_BASIC,admin,CRITICAL,"Administrator","admin=true"
OLD_BASIC,administrator,CRITICAL,"Administrator account","administrator=root"
OLD_BASIC,root,CRITICAL,"Root user","root:password123"
OLD_BASIC,superuser,CRITICAL,"Super user","superuser=yes"
OLD_BASIC,sysadmin,CRITICAL,"System admin","sysadmin=1"
OLD_DATABASE,mysql,CRITICAL,"MySQL database","mysql://user:pass@localhost"
OLD_DATABASE,postgres,CRITICAL,"PostgreSQL","postgres://user:pass@host"
OLD_DATABASE,oracle,CRITICAL,"Oracle database","oracle/password"
OLD_DATABASE,sqlserver,CRITICAL,"SQL Server","sqlserver_password"
OLD_DATABASE,db2,CRITICAL,"DB2 database","db2pass"
OLD_DATABASE,sqlite,CRITICAL,"SQLite database","sqlite3_password"
OLD_DATABASE,informix,CRITICAL,"Informix database","informix_pass"
OLD_DATABASE,database,CRITICAL,"Database connection","database=production"
OLD_DATABASE,datenbank,CRITICAL,"German database","datenbank_passwort"
OLD_DATABASE,tabelle,CRITICAL,"German table","tabelle=users"
OLD_DATABASE,table,CRITICAL,"Database table","table=passwords"
OLD_DATABASE,user_table,CRITICAL,"User table","user_table"
OLD_DATABASE,passwd_table,CRITICAL,"Password table","passwd_table"
OLD_DATABASE,connection,CRITICAL,"Database connection","connection_string"
OLD_DATABASE,verbindung,CRITICAL,"German connection","verbindung_geheim"
OLD_DATABASE,conn_string,CRITICAL,"Connection string","conn_string="
OLD_DATABASE,connection_string,CRITICAL,"Connection string","connection_string=mysql://"
OLD_NETWORK,ssh,CRITICAL,"SSH credentials","ssh_password"
OLD_NETWORK,telnet,CRITICAL,"Telnet password","telnet_pass"
OLD_NETWORK,ftp,CRITICAL,"FTP credentials","ftp://user:pass@"
OLD_NETWORK,sftp,CRITICAL,"SFTP password","sftp_password"
OLD_NETWORK,scp,CRITICAL,"SCP credentials","scp_pass"
OLD_NETWORK,rsync,CRITICAL,"Rsync password","rsync_password"
OLD_NETWORK,windows,CRITICAL,"Windows credentials","windows_password"
OLD_NETWORK,linux,CRITICAL,"Linux passwords","linux_root_pass"
OLD_NETWORK,unix,CRITICAL,"Unix credentials","unix_password"
OLD_NETWORK,bsd,CRITICAL,"BSD system","bsd_root"
OLD_NETWORK,macos,CRITICAL,"macOS password","macos_admin"
OLD_NETWORK,server,CRITICAL,"Server access","server_pass"
OLD_NETWORK,client,CRITICAL,"Client credentials","client_secret"
OLD_NETWORK,host,CRITICAL,"Host access","host_password"
OLD_NETWORK,port,CRITICAL,"Port access","port=22"
OLD_NETWORK,ip_adresse,CRITICAL,"German IP address","ip_adresse=192.168.1.1"
OLD_LEGACY,mainframe,CRITICAL,"Mainframe access","mainframe_password"
OLD_LEGACY,as400,CRITICAL,"AS/400 system","as400_pass"
OLD_LEGACY,ibm,CRITICAL,"IBM systems","ibm_password"
OLD_LEGACY,cobol,CRITICAL,"COBOL systems","cobol_credential"
OLD_LEGACY,fortran,CRITICAL,"FORTRAN systems","fortran_pass"
OLD_LEGACY,rpg,CRITICAL,"RPG systems","rpg_password"
OLD_LEGACY,novell,CRITICAL,"Novell NetWare","novell_admin"
OLD_LEGACY,netware,CRITICAL,"NetWare system","netware_pass"
OLD_LEGACY,lotus,CRITICAL,"Lotus Notes","lotus_password"
OLD_LEGACY,notes,CRITICAL,"Lotus Notes","notes_id"
OLD_LEGACY,domino,CRITICAL,"Domino server","domino_password"
OLD_LOCAL,c:/,CRITICAL,"Windows C drive","c:/windows/system32"
OLD_LOCAL,d:/,CRITICAL,"Windows D drive","d:/data"
OLD_LOCAL,program files,CRITICAL,"Program Files directory","C:/Program Files/"
OLD_LOCAL,system32,CRITICAL,"System32 directory","C:/Windows/System32/"
OLD_LOCAL,winnt,CRITICAL,"Windows NT","C:/WINNT/"
OLD_LOCAL,etc/passwd,CRITICAL,"Linux password file","/etc/passwd"
OLD_LOCAL,etc/shadow,CRITICAL,"Linux shadow file","/etc/shadow"
OLD_LOCAL,/etc/,CRITICAL,"etc directory","/etc/config"
OLD_LOCAL,/var/,CRITICAL,"var directory","/var/log"
